Titulo,Autor,Genero,Descricao,Data_Publicacao
Duna,Frank Herbert,Ficção Científica,"Uma jornada épica no deserto de Arrakis sobre política, religião e sobrevivência.",1965-08-01
1984,George Orwell,Distopia,Um romance distópico sobre vigilância governamental extrema e controle da verdade.,1949-06-08
Dom Casmurro,Machado de Assis,Romance,A clássica história de Bentinho e a suspeita eterna sobre a traição de Capitu.,1899-01-01
O Senhor dos Anéis: A Sociedade do Anel,J.R.R. Tolkien,Fantasia,O início da jornada de Frodo para destruir o Um Anel na Montanha da Perdição.,1954-07-29
O Pequeno Príncipe,Antoine de Saint-Exupéry,Infantojuvenil,"As reflexões poéticas de um jovem príncipe sobre a vida, o amor e a amizade.",1943-04-06
Orgulho e Preconceito,Jane Austen,Romance,Os dilemas de Elizabeth Bennet em meio às convenções sociais da Inglaterra do século XIX.,1813-01-28
O Sol é para Todos,Harper Lee,Drama,O julgamento de um homem negro inocente no Sul dos EUA visto pelos olhos de uma criança.,1960-07-11
Cem Anos de Solidão,Gabriel García Márquez,Realismo Mágico,A saga da família Buendía na mítica e isolada cidade de Macondo.,1967-06-05
A Revolução dos Bichos,George Orwell,Sátira Política,Uma fábula política sobre a corrupção do poder após uma revolta animal na fazenda.,1945-08-17
O Hobbit,J.R.R. Tolkien,Fantasia,A aventura inesperada de Bilbo Bolseiro em busca do tesouro guardado pelo dragão Smaug.,1937-09-21
Crime e Castigo,Fiódor Dostoiévski,Romance Psicológico,O dilema moral e o tormento psicológico de um estudante após cometer um assassinato.,1866-01-01
O Alquimista,Paulo Coelho,Ficção,A jornada espiritual de um jovem pastor andaluz em busca de um tesouro nas pirâmides.,1988-01-01
A Metamorfose,Franz Kafka,Ficção Absurda,A transformação inexplicável de Gregor Samsa em um inseto gigante e suas consequências.,1915-10-01
Capitães da Areia,Jorge Amado,Romance,A vida de crianças abandonadas nas ruas de Salvador e suas vivências de solidariedade.,1937-01-01
Vidas Secas,Graciliano Ramos,Romance Regionalista,O drama de uma família de retirantes nordestinos fugindo da seca e da miséria.,1938-01-01
O Cortiço,Aluísio Azevedo,Naturalismo,Retrato cru da vida e das relações humanas em uma estalagem no Rio de Janeiro do século XIX.,1890-01-01
Quarto de Despejo,Carolina Maria de Jesus,Autobiografia,O diário comovente de uma catadora de papel vivendo na favela do Canindé em São Paulo.,1960-08-30
Memórias Póstumas de Brás Cubas,Machado de Assis,Romance,A narrativa irônica e inovadora de um defunto autor sobre sua própria vida.,1881-01-01
Iracema,José de Alencar,Romance Indianista,A lenda fundadora da tribo tabajara e o romance entre a virgem dos lábios de mel e o guerreiro branco.,1865-01-01
O Guarani,José de Alencar,Romance Histórico,As aventuras e o amor heroico do índio Peri pela fidalga Cecília na Mata do Paquequer.,1857-01-01
A Hora da Estrela,Clarice Lispector,Romance,"A trajetória melancólica e inocente de Macabéa, uma nordestina migrante no Rio de Janeiro.",1977-12-01
Grande Sertão: Veredas,João Guimarães Rosa,Romance,"As memórias do ex-jagunço Riobaldo sobre o pacto com o diabo, o amor e o sertão mineiro.",1956-01-01
Triste Fim de Policarpo Quaresma,Lima Barreto,Pré-Modernismo,O nacionalismo exagerado e trágico de um funcionário público idealista no Brasil.,1915-01-01
Macunaíma,Mário de Andrade,Modernismo,As peripécias do herói sem nenhum caráter pela cultura e folclore brasileiros.,1928-07-25
A Moreninha,Joaquim Manuel de Macedo,Romance,Uma história de amor juvenil baseada em uma aposta romântica na ilha de Paquetá.,1844-01-01
O Alienista,Machado de Assis,Sátira,A história do médico Simão Bacamarte e sua fundação do manicomio Casa Verde em Itaguaí.,1882-01-01
Sermões,Padre Antônio Vieira,Oratória,"Peças-chave da literatura barroca com críticas sociais, morais e religiosas.",1679-01-01
Marília de Dirceu,Tomás Antônio Gonzaga,Poesia,Versos líricos e amorosos marcados pelo arcadismo mineiro e pela inconfidência.,1792-01-01
O Irmão Pequeno,Herman Koch,Suspense,Uma reflexão ácida sobre segredos de família e escolhas morais difíceis.,2014-11-01
A Menina que Roubava Livros,Markus Zusak,Drama Histórico,"A história de Liesel narrada pela Morte na Alemanha nazista, tendo os livros como refúgio.",2005-09-01
Ensaio sobre a Cegueira,José Saramago,Ficção Filosófica,"Um surto de cegueira branca devasta uma cidade, expondo a fragilidade da sociedade.",1995-01-01
Harry Potter e a Pedra Filosofal,J.K. Rowling,Fantasia,A descoberta do mundo mágico por um menino órfão que vai estudar na Escola de Magia.,1997-06-26
O Código Da Vinci,Dan Brown,Thriller,Uma caça ao tesouro internacional envolvendo criptografia e segredos seculares da Igreja.,2003-03-18
Jogos Vorazes,Suzanne Collins,Distopia,Uma competição televisiva mortal onde jovens lutam pela sobrevivência em uma sociedade tirânica.,2008-09-14
A Culpa é das Estrelas,John Green,Romance Jovem,O romance emocionante entre dois jovens diagnosticados com câncer que se conhecem em um grupo de apoio.,2012-01-10
Percy Jackson e o Ladrão de Raios,Rick Riordan,Fantasia,Um garoto descobre ser filho de um deus grego e é acusado de roubar o raio de Zeus.,2005-06-28
Crepúsculo,Stephenie Meyer,Fantasia Romântica,O amor proibido entre uma jovem humana e um vampiro centenário na chuvosa cidade de Forks.,2005-10-05
O Iluminado,Stephen King,Terror,Um escritor e sua família isolados em um hotel remoto no inverno enfrentam forças malévolas.,1977-01-28
It: A Coisa,Stephen King,Terror,Um grupo de amigos enfrenta uma entidade metamorfa que aterroriza a cidade de Derry.,1986-09-15
Drácula,Bram Stoker,Terror Clássico,O clássico epistolar sobre a ameaça do Conde Drácula e sua tentativa de expandir seu império.,1897-05-26
Frankenstein,Mary Shelley,Ficção Gótica,Um jovem cientista cria vida artificial e lida com as trágicas consequências de sua ambição.,1818-01-01
O Retrato de Dorian Gray,Oscar Wilde,Ficção Filosófica,Um jovem mantém sua juventude intacta enquanto seu retrato envelhece refletindo seus pecados.,1890-07-01
Fahrenheit 451,Ray Bradbury,Distopia,Um bombeiro cuja profissão é queimar livros questiona o regime totalitário que os proíbe.,1953-10-19
Admirável Mundo Novo,Aldous Huxley,Distopia,"Uma sociedade futurista baseada em controle genético, condicionamento e consumo desenfreado.",1932-01-01
Neuromancer,William Gibson,Cyberpunk,Um hacker renegado é contratado para realizar a última grande invasão cibernética da rede.,1984-07-01
Fundação,Isaac Asimov,Ficção Científica,A tentativa de preservar o conhecimento humano através de uma fundação em tempos de queda galáctica.,1951-05-01
"Eu, Robô",Isaac Asimov,Ficção Científica,Histórias sobre as Leis da Robótica e a relação entre humanos e máquinas inteligentes.,1950-12-02
Guerra dos Mundos,H.G. Wells,Ficção Científica,A violenta invasão da Terra por marcianos altamente tecnológicos e impiedosos.,1898-01-01
A Máquina do Tempo,H.G. Wells,Ficção Científica,Um cientista viaja ao futuro distante e descobre a bifurcação da raça humana em duas espécies.,1895-01-01
O Morro dos Ventos Uivantes,Emily Brontë,Romance Gótico,A intensa e destrutiva paixão entre Heathcliff e Catherine Earnest nos picos de Yorkshire.,1847-12-01
